PTVT45668,The Hallway,8159,06/17/2020, 19:25:42
PTVT45668,The Hallway,8159,06/17/2020, 20:05:41
PTVT45668,The Hallway,8159,06/17/2020, 21:04:36
PTVT45668,The Hallway,8159,06/17/2020, 21:13:47
PTVT45668,The Hallway,8159,06/17/2020, 22:04:22
PTVT45668,The Hallway,8159,06/17/2020, 23:04:40
PTVT45668,The Hallway,8160,06/18/2020, 00:12:40
PTVT45668,The Hallway,8160,06/18/2020, 01:05:54
PTVT45668,The Hallway,8160,06/18/2020, 02:05:16
PTVT45668,The Hallway,8161,06/18/2020, 03:04:45
PTVT45668,The Hallway,8161,06/18/2020, 04:05:04
PTVT45668,The Hallway,8161,06/18/2020, 05:04:53
PTVT45668,The Hallway,8161,06/18/2020, 06:06:11
PTVT45668,The Hallway,8161,06/18/2020, 07:05:07
PTVT45668,The Hallway,8161,06/18/2020, 08:05:28
PTVT45668,The Hallway,8161,06/18/2020, 09:05:35
PTVT45668,The Hallway,8161,06/18/2020, 10:05:43
PTVT45668,The Hallway,8161,06/18/2020, 11:04:22
